Cálculo1,num_expediente,fecha,hora,localizacion,numero,cod_distrito,distrito,tipo_accidente,estado_meteorológico,tipo_vehiculo,tipo_persona,rango_edad,sexo,cod_lesividad,lesividad,positiva_alcohol
1,2023S023612,22/06/2023,23:15:00,"CALL. SANTA ENGRACIA, 81",81,7,CHAMBERÍ,Colisión frontal,Despejado,Bicicleta,Conductor,De 21 a 24 años,Hombre,6,Asistencia sanitaria inmediata en centro de salud o mutua,Negativo
1,2023S023612,22/06/2023,23:15:00,"CALL. SANTA ENGRACIA, 81",81,7,CHAMBERÍ,Colisión frontal,Despejado,Bicicleta,Conductor,Desconocido,Otro,0,Desconocida,Negativo
1,2023S021136,27/05/2023,23:10:00,"CALL. SIERRA DEL VALLE, 6",6,13,PUENTE DE VALLECAS,Caída,LLuvia intensa,Bicicleta EPAC (pedaleo asistido),Conductor,De 15 a 17 años,Hombre,7,Asistencia sanitaria sólo en el lugar del accidente,Negativo
1,2023S008500,09/03/2023,23:10:00,PASEO. PRADO / PLAZA. CIBELES,1,3,RETIRO,Alcance,Despejado,Bicicleta,Conductor,De 25 a 29 años,Hombre,1,Atención en urgencias sin posterior ingreso,Negativo
1,2023S024566,04/07/2023,23:10:00,CALL. GENOVA / PLAZA. COLON,30,1,CENTRO,Colisión lateral,Despejado,Bicicleta,Conductor,De 30 a 34 años,Hombre,1,Atención en urgencias sin posterior ingreso,Negativo
1,2023S026898,05/08/2023,23:10:00,"CALL. ALCALA, 236",236,15,CIUDAD LINEAL,Caída,Despejado,Bicicleta EPAC (pedaleo asistido),Conductor,De 18 a 20 años,Hombre,1,Atención en urgencias sin posterior ingreso,Negativo
1,2023S020365,21/05/2023,23:05:00,"SANTA MARIA CABEZA, 38",38,2,ARGANZUELA,Colisión fronto-lateral,Nublado,Bicicleta,Conductor,De 21 a 24 años,Hombre,5,Asistencia sanitaria ambulatoria con posterioridad,Negativo
1,2023S024568,04/07/2023,23:05:00,"CALL. PRINCESA, 1",1,9,MONCLOA-ARAVACA,Colisión fronto-lateral,Despejado,Bicicleta,Conductor,De 30 a 34 años,Hombre,7,Asistencia sanitaria sólo en el lugar del accidente,Negativo
1,2023S024391,02/07/2023,23:05:00,"CALL. ALCALA, 63",63,4,SALAMANCA,Caída,Despejado,Bicicleta,Conductor,De 21 a 24 años,Hombre,1,Atención en urgencias sin posterior ingreso,Negativo
1,2023S027489,16/08/2023,23:00:00,PLAZA. CARLOS CAMBRONERO / CALL. SAN ROQUE,1,1,CENTRO,Colisión fronto-lateral,Despejado,Bicicleta EPAC (pedaleo asistido),Conductor,De 25 a 29 años,Hombre,0,Desconocida,Negativo
1,2023S026202,25/07/2023,22:59:00,CALL. FUENTE CARRANTONA / CALL. CIUDAD ENCANTADA,,14,MORATALAZ,Colisión fronto-lateral,Despejado,Bicicleta,Conductor,De 30 a 34 años,Hombre,0,Desconocida,Negativo
1,2023S030844,30/09/2023,22:55:00,"CALL. DOCTOR CORTEZO, 8",8,1,CENTRO,Caída,Despejado,Bicicleta,Conductor,De 25 a 29 años,Hombre,2,Ingreso inferior o igual a 24 horas,Negativo
1,2023S023128,16/06/2023,22:50:00,"CALL. PRECIADOS, 21",21,1,CENTRO,Atropello a persona,Despejado,Bicicleta EPAC (pedaleo asistido),Conductor,De 21 a 24 años,Hombre,14,Sin asistencia sanitaria,Negativo
1,2023S023128,16/06/2023,22:50:00,"CALL. PRECIADOS, 21",21,1,CENTRO,Atropello a persona,Despejado,Bicicleta EPAC (pedaleo asistido),Peatón,Menor de 5 años,Hombre,7,Asistencia sanitaria sólo en el lugar del accidente,Negativo
1,2023S026578,31/07/2023,22:50:00,"CALL. JOAQUIN TURINA, 40",40,11,CARABANCHEL,Colisión fronto-lateral,Despejado,Bicicleta,Conductor,De 50 a 54 años,Hombre,7,Asistencia sanitaria sólo en el lugar del accidente,Positivo
1,2023S018920,07/05/2023,22:50:00,"GTA. SAN ANTONIO DE LA FLORIDA, 4",4,9,MONCLOA-ARAVACA,Caída,Despejado,Bicicleta,Conductor,De 21 a 24 años,Hombre,2,Ingreso inferior o igual a 24 horas,Negativo
1,2023S018920,07/05/2023,22:50:00,"GTA. SAN ANTONIO DE LA FLORIDA, 4",4,9,MONCLOA-ARAVACA,Caída,Despejado,Bicicleta,Peatón,De 30 a 34 años,Mujer,14,Sin asistencia sanitaria,Negativo
1,2023S030287,24/09/2023,22:50:00,AVDA. MIGUEL HERNANDEZ / CALL. LEONESES,102,13,PUENTE DE VALLECAS,Caída,Despejado,Bicicleta,Conductor,De 18 a 20 años,Hombre,5,Asistencia sanitaria ambulatoria con posterioridad,Negativo
1,2023S030752,29/09/2023,22:50:00,CALL. CARTAGENA / CALL. LUIS VIVES,164,5,CHAMARTÍN,Caída,Despejado,Bicicleta,Conductor,Desconocido,Otro,0,Desconocida,Negativo
1,2023S030632,28/09/2023,22:50:00,AVDA. CIUDAD DE BARCELONA / CALL. DOCTOR ESQUERDO,81,3,RETIRO,Alcance,Despejado,Bicicleta,Conductor,De 35 a 39 años,Mujer,1,Atención en urgencias sin posterior ingreso,Negativo
1,2023S005485,17/02/2023,22:45:00,"CALL. PINTOR ANTONIO SAURA, 2A",,16,HORTALEZA,Atropello a persona,Despejado,Bicicleta,Conductor,De 30 a 34 años,Hombre,14,Sin asistencia sanitaria,Negativo
1,2023S005485,17/02/2023,22:45:00,"CALL. PINTOR ANTONIO SAURA, 2A",,16,HORTALEZA,Atropello a persona,Despejado,Bicicleta,Peatón,De 50 a 54 años,Mujer,7,Asistencia sanitaria sólo en el lugar del accidente,Negativo
1,2023S014905,11/04/2023,22:40:00,CALL. JESUS APRENDIZ / ARIAS MONTANO,19,3,RETIRO,Caída,Despejado,Bicicleta EPAC (pedaleo asistido),Conductor,De 60 a 64 años,Mujer,1,Atención en urgencias sin posterior ingreso,Negativo
1,2023S020450,22/05/2023,22:40:00,AVDA. AMERICA / CALL. CARTAGENA,31,5,CHAMARTÍN,Colisión fronto-lateral,Lluvia débil,Bicicleta EPAC (pedaleo asistido),Conductor,De 21 a 24 años,Hombre,0,Desconocida,Negativo
1,2023S029021,09/09/2023,22:40:00,"PASEO. CASTELLANA, 191A",,6,TETUÁN,Caída,Lluvia débil,Bicicleta,Conductor,De 55 a 59 años,Mujer,1,Atención en urgencias sin posterior ingreso,Negativo
1,2023S020362,21/05/2023,22:40:00,"CALL. HERMANOS GARCIA NOBLEJAS, 30",30,15,CIUDAD LINEAL,Alcance,Despejado,Bicicleta,Conductor,De 30 a 34 años,Hombre,7,Asistencia sanitaria sólo en el lugar del accidente,Negativo
1,2023S001541,20/01/2023,22:35:00,"CALL. PLATANO, 8",8,6,TETUÁN,Caída,Despejado,Bicicleta,Conductor,De 45 a 49 años,Hombre,3,Ingreso superior a 24 horas,Negativo
1,2023S028335,31/08/2023,22:35:00,CALLE ALFONSO XII 58,58,3,RETIRO,Caída,Despejado,Bicicleta,Conductor,De 30 a 34 años,Mujer,2,Ingreso inferior o igual a 24 horas,Negativo
1,2023S025732,19/07/2023,22:35:00,"CALL. DIEGO DE LEON, 1",1,4,SALAMANCA,Alcance,Despejado,Bicicleta,Conductor,De 25 a 29 años,Mujer,1,Atención en urgencias sin posterior ingreso,Negativo
1,2023S004277,10/02/2023,22:35:00,CALL. ALCALA / MARQUES DE CUBAS,44,1,CENTRO,Colisión fronto-lateral,Despejado,Bicicleta,Conductor,De 30 a 34 años,Hombre,7,Asistencia sanitaria sólo en el lugar del accidente,Negativo
1,2023S000163,03/01/2023,22:26:00,PASEO. SANTA MARIA DE LA CABEZA / PALOS DE LA FRONTERA,39,2,ARGANZUELA,Caída,Despejado,Bicicleta,Conductor,De 21 a 24 años,Mujer,0,Desconocida,Negativo
1,2023S022517,09/06/2023,22:25:00,CALL. JOSE PAULETE / CMNO. VALDERRIBAS,20,13,PUENTE DE VALLECAS,Colisión frontal,Despejado,Bicicleta,Conductor,De 30 a 34 años,Hombre,7,Asistencia sanitaria sólo en el lugar del accidente,Negativo
1,2023S019670,15/05/2023,22:10:00,AVDA. DEMOCRACIA / JESUS DEL PINO,1,13,PUENTE DE VALLECAS,Caída,Despejado,Bicicleta,Conductor,De 35 a 39 años,Hombre,2,Ingreso inferior o igual a 24 horas,Positivo
1,2023S015680,15/04/2023,22:10:00,CALL. ALGETE / CALL. TENIENTE CORONEL NOREÑA,1,2,ARGANZUELA,Colisión frontal,Despejado,Bicicleta,Conductor,De 65 a 69 años,Hombre,7,Asistencia sanitaria sólo en el lugar del accidente,Positivo
1,2023S007130,01/03/2023,22:10:00,"CALL. BRAVO MURILLO, 125",125,6,TETUÁN,Colisión fronto-lateral,Despejado,Bicicleta EPAC (pedaleo asistido),Conductor,De 25 a 29 años,Mujer,7,Asistencia sanitaria sólo en el lugar del accidente,Negativo
1,2023S027184,10/08/2023,22:05:00,CALL. GENERAL RICARDOS / CALL. MANUEL LAMELA,182,11,CARABANCHEL,Colisión fronto-lateral,Despejado,Bicicleta,Conductor,De 10 a 14 años,Hombre,14,Sin asistencia sanitaria,Negativo
1,2023S020816,24/05/2023,22:00:00,"CALL. SAN BERNARDO, 51",51,1,CENTRO,Choque contra obstáculo fijo,Lluvia débil,Bicicleta,Conductor,De 45 a 49 años,Hombre,14,Sin asistencia sanitaria,Negativo
1,2023S028048,27/08/2023,22:00:00,"PASEO. QUINCE DE MAYO, 25",25,11,CARABANCHEL,Caída,Despejado,Bicicleta,Conductor,De 40 a 44 años,Mujer,2,Ingreso inferior o igual a 24 horas,Negativo
1,2023S030927,30/09/2023,22:00:00,CALL. VIA CARPETANA / PASEO. ERMITA DEL SANTO,43,11,CARABANCHEL,Caída,Despejado,Bicicleta EPAC (pedaleo asistido),Conductor,De 15 a 17 años,Hombre,7,Asistencia sanitaria sólo en el lugar del accidente,Negativo
1,2023S021223,28/05/2023,22:00:00,"CALL. GRAN VIA, 74",74,1,CENTRO,Caída,Lluvia débil,Bicicleta EPAC (pedaleo asistido),Conductor,De 30 a 34 años,Hombre,5,Asistencia sanitaria ambulatoria con posterioridad,Negativo
1,2023S027248,11/08/2023,21:50:00,"CALL. PORTUGALETE, 6",6,15,CIUDAD LINEAL,Choque contra obstáculo fijo,Despejado,Bicicleta,Conductor,De 10 a 14 años,Hombre,1,Atención en urgencias sin posterior ingreso,Negativo
1,2023S005280,16/02/2023,21:50:00,PASEO. LA HABANA / HERRE,73,5,CHAMARTÍN,Alcance,Despejado,Bicicleta,Conductor,De 25 a 29 años,Hombre,3,Ingreso superior a 24 horas,Negativo
1,2023S002176,25/01/2023,21:49:00,"PASEO. GENERAL MARTINEZ CAMPOS, 2",2,7,CHAMBERÍ,Caída,Despejado,Bicicleta,Conductor,De 21 a 24 años,Hombre,14,Sin asistencia sanitaria,Negativo
1,2023S019423,12/05/2023,21:45:00,"PLAZA. CANALEJAS, 1",1,1,CENTRO,Colisión frontal,Despejado,Bicicleta,Conductor,De 25 a 29 años,Hombre,0,Desconocida,Negativo
1,2023S027791,22/08/2023,21:43:00,"PQUE. PINAR DE LA ELIPA, 0",0,15,CIUDAD LINEAL,Caída,Despejado,Bicicleta EPAC (pedaleo asistido),Conductor,De 15 a 17 años,Hombre,2,Ingreso inferior o igual a 24 horas,Negativo
1,2023S029345,13/09/2023,21:40:00,AVDA. MONTE IGUELDO / CALL. MARTINEZ DE LA RIVA,20,13,PUENTE DE VALLECAS,Alcance,Despejado,Bicicleta EPAC (pedaleo asistido),Conductor,De 25 a 29 años,Mujer,7,Asistencia sanitaria sólo en el lugar del accidente,Negativo
1,2023S026134,24/07/2023,21:40:00,"CALL. ARROYO BUENO, 4",4,17,VILLAVERDE,Colisión fronto-lateral,Despejado,Bicicleta EPAC (pedaleo asistido),Conductor,De 15 a 17 años,Hombre,5,Asistencia sanitaria ambulatoria con posterioridad,Negativo
1,2023S008493,09/03/2023,21:40:00,CALL. ANTONIO DE LEYVA / CALL. ARLANZA,77,11,CARABANCHEL,Colisión lateral,Despejado,Bicicleta,Conductor,De 30 a 34 años,Hombre,0,Desconocida,Negativo
1,2023S026273,26/07/2023,21:35:00,CALL. CARAMUEL / CALL. VIA CARPETANA,6,10,LATINA,Caída,Despejado,Bicicleta,Conductor,De 25 a 29 años,Hombre,6,Asistencia sanitaria inmediata en centro de salud o mutua,Negativo
1,2023S023608,22/06/2023,21:35:00,"PASEO. PINTOR ROSALES, 32",32,9,MONCLOA-ARAVACA,Colisión fronto-lateral,Despejado,Bicicleta,Conductor,De 25 a 29 años,Hombre,7,Asistencia sanitaria sólo en el lugar del accidente,Negativo
1,2023S017956,30/04/2023,21:35:00,CALL. EL ESPINAR / CALL. GENERAL RICARDOS,1,11,CARABANCHEL,Colisión fronto-lateral,Despejado,Bicicleta,Conductor,De 6 a 9 años,Hombre,7,Asistencia sanitaria sólo en el lugar del accidente,Negativo
1,2023S026999,06/08/2023,21:30:00,"PASEO. ERMITA DEL SANTO, 18",18,10,LATINA,Atropello a persona,Despejado,Bicicleta,Peatón,De 65 a 69 años,Mujer,7,Asistencia sanitaria sólo en el lugar del accidente,Negativo
1,2023S029435,14/09/2023,21:30:00,AVDA. MIGUEL HERNANDEZ / CALL. VILLALOBOS,120,13,PUENTE DE VALLECAS,Atropello a persona,Despejado,Bicicleta EPAC (pedaleo asistido),Conductor,De 15 a 17 años,Mujer,14,Sin asistencia sanitaria,Negativo
1,2023S029435,14/09/2023,21:30:00,AVDA. MIGUEL HERNANDEZ / CALL. VILLALOBOS,120,13,PUENTE DE VALLECAS,Atropello a persona,Despejado,Bicicleta EPAC (pedaleo asistido),Peatón,De 55 a 59 años,Hombre,5,Asistencia sanitaria ambulatoria con posterioridad,Negativo
1,2023S021557,01/06/2023,21:30:00,"CTRA. VILLAVERDE A VALLECAS, 230",230,18,VILLA DE VALLECAS,Caída,LLuvia intensa,Bicicleta EPAC (pedaleo asistido),Conductor,De 35 a 39 años,Hombre,7,Asistencia sanitaria sólo en el lugar del accidente,Positivo
1,2023S017259,25/04/2023,21:30:00,CALL. GENERAL RICARDOS / CALL. PARRA,157,11,CARABANCHEL,Colisión múltiple,Despejado,Bicicleta,Conductor,De 15 a 17 años,Hombre,7,Asistencia sanitaria sólo en el lugar del accidente,Negativo
1,2023S026999,06/08/2023,21:30:00,"PASEO. ERMITA DEL SANTO, 18",18,10,LATINA,Atropello a persona,Despejado,Bicicleta,Peatón,De 25 a 29 años,Mujer,14,Sin asistencia sanitaria,Negativo
1,2023S026999,06/08/2023,21:30:00,"PASEO. ERMITA DEL SANTO, 18",18,10,LATINA,Atropello a persona,Despejado,Bicicleta,Conductor,De 45 a 49 años,Hombre,14,Sin asistencia sanitaria,Negativo
1,2023S028474,01/09/2023,21:30:00,"CALL. PUERTO DE SANTA MARIA, 50",50,16,HORTALEZA,Caída,Lluvia débil,Bicicleta EPAC (pedaleo asistido),Conductor,De 21 a 24 años,Hombre,1,Atención en urgencias sin posterior ingreso,Negativo
1,2023S017162,24/04/2023,21:25:00,"CMNO. VIEJO DE HORTALEZA, 32",32,21,BARAJAS,Caída,Despejado,Bicicleta,Conductor,De 35 a 39 años,Hombre,2,Ingreso inferior o igual a 24 horas,Negativo
1,2023S018399,04/05/2023,21:20:00,CALL. CERRO DEL MONTE / CALL. SUERTES DE LA VILLA,10,19,VICÁLVARO,Caída,Despejado,Bicicleta,Conductor,De 25 a 29 años,Mujer,5,Asistencia sanitaria ambulatoria con posterioridad,Negativo
1,2023S027795,22/08/2023,21:20:00,AVDA. GRAN VIA DE VILLAVERDE / CALL. CARMELITAS,14,17,VILLAVERDE,Caída,Despejado,Bicicleta,Conductor,De 30 a 34 años,Hombre,7,Asistencia sanitaria sólo en el lugar del accidente,Negativo
1,2023S024366,01/07/2023,21:15:00,"CALL. DESENGAÑO, 6",6,1,CENTRO,Colisión lateral,Despejado,Bicicleta,Conductor,De 25 a 29 años,Hombre,0,Desconocida,Negativo
1,2023S006235,23/02/2023,21:15:00,"CALL. PRINCESA, 98",98,9,MONCLOA-ARAVACA,Colisión lateral,Despejado,Bicicleta,Conductor,De 18 a 20 años,Hombre,1,Atención en urgencias sin posterior ingreso,Negativo
1,2023S023467,20/06/2023,21:15:00,CALLE DE ODONELL,3,4,SALAMANCA,Alcance,Despejado,Bicicleta,Conductor,De 18 a 20 años,Hombre,7,Asistencia sanitaria sólo en el lugar del accidente,Negativo
1,2023S024638,05/07/2023,21:10:00,"CALL. VALLEHERMOSO, 60",60,7,CHAMBERÍ,Alcance,Despejado,Bicicleta,Conductor,De 30 a 34 años,Hombre,6,Asistencia sanitaria inmediata en centro de salud o mutua,Negativo
1,2023S030624,28/09/2023,21:10:00,AVDA. DOCTOR FEDERICO RUBIO Y GALI / CALL. TUDELILLA,49,6,TETUÁN,Colisión frontal,Despejado,Bicicleta,Conductor,De 45 a 49 años,Hombre,2,Ingreso inferior o igual a 24 horas,Negativo
1,2023S029770,18/09/2023,21:10:00,CALL. DURAZNO / CALL. CARABANCHEL BAJO,15,11,CARABANCHEL,Colisión fronto-lateral,Despejado,Bicicleta,Conductor,De 30 a 34 años,Mujer,14,Sin asistencia sanitaria,Negativo
1,2023S003811,07/02/2023,21:10:00,"CALL. GENOVA, 12",12,1,CENTRO,Alcance,Nublado,Bicicleta,Conductor,De 21 a 24 años,Hombre,0,Desconocida,Negativo
1,2023S028324,31/08/2023,21:10:00,CALL. ALCALDE SAINZ DE BARANDA / CALL. ANTONIO CASERO,107,3,RETIRO,Caída,Despejado,Bicicleta EPAC (pedaleo asistido),Conductor,De 40 a 44 años,Mujer,2,Ingreso inferior o igual a 24 horas,Negativo
1,2023S001199,16/01/2023,21:08:00,"RONDA. TOLEDO, 3",3,1,CENTRO,Colisión lateral,Lluvia débil,Bicicleta EPAC (pedaleo asistido),Conductor,De 30 a 34 años,Mujer,7,Asistencia sanitaria sólo en el lugar del accidente,Negativo
1,2023S004160,09/02/2023,21:05:00,"GTA. RUIZ JIMENEZ, 5",5,7,CHAMBERÍ,Colisión lateral,Despejado,Bicicleta,Conductor,De 35 a 39 años,Hombre,0,Desconocida,Negativo
1,2023S028587,03/09/2023,21:00:00,AVDA. GRAN VIA DEL ESTE / AVDA. AURORA BOREAL,1,19,VICÁLVARO,Alcance,Despejado,Bicicleta EPAC (pedaleo asistido),Conductor,De 10 a 14 años,Hombre,7,Asistencia sanitaria sólo en el lugar del accidente,Negativo
1,2023S011892,27/03/2023,21:00:00,"CALL. NUÑEZ DE BALBOA, 107",107,4,SALAMANCA,Alcance,Despejado,Bicicleta,Conductor,De 60 a 64 años,Hombre,14,Sin asistencia sanitaria,Negativo
1,2023S024464,03/07/2023,21:00:00,"AVDA. GRAN VIA DE SAN FRANCISCO, 5",5,1,CENTRO,Colisión lateral,Sin información,Bicicleta EPAC (pedaleo asistido),Conductor,De 30 a 34 años,Hombre,0,Desconocida,Negativo
1,2023S025142,11/07/2023,21:00:00,CALL. MATEO INURRIA / CALL. GENERAL LOPEZ POZAS,15,5,CHAMARTÍN,Colisión lateral,Despejado,Bicicleta EPAC (pedaleo asistido),Conductor,De 45 a 49 años,Hombre,7,Asistencia sanitaria sólo en el lugar del accidente,Negativo
1,2023S015047,12/04/2023,21:00:00,"CALL. VELAZQUEZ, 43",43,4,SALAMANCA,Colisión fronto-lateral,Despejado,Bicicleta,Conductor,De 45 a 49 años,Hombre,6,Asistencia sanitaria inmediata en centro de salud o mutua,Negativo
1,2023S028587,03/09/2023,21:00:00,AVDA. GRAN VIA DEL ESTE / AVDA. AURORA BOREAL,1,19,VICÁLVARO,Alcance,Despejado,Bicicleta EPAC (pedaleo asistido),Conductor,De 15 a 17 años,Hombre,14,Sin asistencia sanitaria,Negativo
1,2023S021476,31/05/2023,21:00:00,"CALL. VIA LUSITANA, 5",5,11,CARABANCHEL,Caída,Despejado,Bicicleta,Conductor,De 18 a 20 años,Hombre,7,Asistencia sanitaria sólo en el lugar del accidente,Negativo
1,2023S022288,07/06/2023,20:52:00,CALL. CARLOTA O'NEILL / AVDA. BADAJOZ,32,15,CIUDAD LINEAL,Caída,Lluvia débil,Bicicleta,Conductor,De 30 a 34 años,Hombre,1,Atención en urgencias sin posterior ingreso,Positivo
1,2023S010570,20/03/2023,20:51:00,"CALL. SANTA HORTENSIA, 46A",,5,CHAMARTÍN,Choque contra obstáculo fijo,Despejado,Bicicleta EPAC (pedaleo asistido),Conductor,De 15 a 17 años,Hombre,5,Asistencia sanitaria ambulatoria con posterioridad,Negativo
1,2023S030735,29/09/2023,20:50:00,"CERRO. GARABITAS, 0",0,9,MONCLOA-ARAVACA,Caída,Despejado,Bicicleta,Conductor,De 50 a 54 años,Hombre,2,Ingreso inferior o igual a 24 horas,Negativo
1,2023S020191,20/05/2023,20:45:00,"CALL. FERNANDO VI, 17",17,1,CENTRO,Alcance,Despejado,Bicicleta,Conductor,De 25 a 29 años,Hombre,7,Asistencia sanitaria sólo en el lugar del accidente,Negativo
1,2023S006740,27/02/2023,20:40:00,"PASEO. FERNAN NUÑEZ, 1",1,3,RETIRO,Atropello a animal,Despejado,Bicicleta EPAC (pedaleo asistido),Conductor,De 45 a 49 años,Mujer,2,Ingreso inferior o igual a 24 horas,Negativo
1,2023S002492,28/01/2023,20:40:00,CALL. JOAQUIN COSTA / CALL. JOAQUIN COSTA,28,5,CHAMARTÍN,Alcance,Despejado,Bicicleta,Conductor,De 45 a 49 años,Hombre,3,Ingreso superior a 24 horas,Negativo
1,2023S006740,27/02/2023,20:40:00,"PASEO. FERNAN NUÑEZ, 1",1,3,RETIRO,Atropello a animal,Despejado,Bicicleta EPAC (pedaleo asistido),Peatón,De 35 a 39 años,Mujer,14,Sin asistencia sanitaria,Negativo
1,2023S022583,10/06/2023,20:40:00,CALL. GRAN VIA / CALL. SAN BERNARDO,51,1,CENTRO,Alcance,Sin información,Bicicleta,Conductor,De 35 a 39 años,Hombre,0,Desconocida,Negativo
1,2023S025024,10/07/2023,20:40:00,PASEO. EXTREMADURA / CALL. GUADARRAMA,65,10,LATINA,Caída,Despejado,Bicicleta EPAC (pedaleo asistido),Conductor,De 25 a 29 años,Hombre,6,Asistencia sanitaria inmediata en centro de salud o mutua,Negativo
1,2023S030019,21/09/2023,20:40:00,GTA. MARIANO SALVADOR MAELLA / CALL. DOCTOR RAMON CASTROVIEJO,1,8,FUENCARRAL-EL PARDO,Alcance,Nublado,Bicicleta,Conductor,De 25 a 29 años,Hombre,0,Desconocida,Negativo
1,2023S015865,17/04/2023,20:38:00,PASEO. PONTONES / PASEO. MELANCOLICOS,28,2,ARGANZUELA,Colisión fronto-lateral,Despejado,Bicicleta,Conductor,De 55 a 59 años,Mujer,3,Ingreso superior a 24 horas,Negativo
1,2023S023599,22/06/2023,20:35:00,AVDA. MAYORAZGO / CTRA. VILLAVERDE A VALLECAS,1,18,VILLA DE VALLECAS,Colisión fronto-lateral,Despejado,Bicicleta,Conductor,De 40 a 44 años,Hombre,2,Ingreso inferior o igual a 24 horas,Negativo
1,2023S004882,13/02/2023,20:33:00,"CALL. FRANCOS RODRIGUEZ, 104",104,9,MONCLOA-ARAVACA,Alcance,Despejado,Bicicleta EPAC (pedaleo asistido),Conductor,De 45 a 49 años,Hombre,2,Ingreso inferior o igual a 24 horas,Negativo
1,2023S000228,04/01/2023,20:30:00,CALL. GENERAL RICARDOS / SAN PATRICI,1,11,CARABANCHEL,Colisión frontal,Despejado,Bicicleta,Conductor,De 30 a 34 años,Hombre,7,Asistencia sanitaria sólo en el lugar del accidente,Negativo
1,2023S021127,27/05/2023,20:30:00,"CALL. ALCALDE SAINZ DE BARANDA, 67",67,3,RETIRO,Otro,Despejado,Bicicleta,Conductor,De 30 a 34 años,Hombre,7,Asistencia sanitaria sólo en el lugar del accidente,Negativo
1,2023S025286,13/07/2023,20:30:00,CALL. ZORRILLA / CALL. CEDACEROS,1,1,CENTRO,Alcance,Despejado,Bicicleta,Conductor,De 21 a 24 años,Hombre,0,Desconocida,Negativo
1,2023S017083,23/04/2023,20:30:00,CALL. JATIVA / CALL. CERRO NEGRO,55,3,RETIRO,Colisión fronto-lateral,Despejado,Bicicleta,Conductor,De 10 a 14 años,Hombre,7,Asistencia sanitaria sólo en el lugar del accidente,Negativo
1,2023S027581,18/08/2023,20:30:00,"PSRL. CALLE DEL VADO, 0",0,2,ARGANZUELA,Caída,Despejado,Bicicleta,Conductor,De 55 a 59 años,Hombre,0,Desconocida,Negativo
1,2023S027019,07/08/2023,20:30:00,CALL. SAN JUAN DE ORTEGA / CALL. GRAÑON,12,8,FUENCARRAL-EL PARDO,Colisión fronto-lateral,Despejado,Bicicleta,Conductor,De 70 a 74 años,Hombre,7,Asistencia sanitaria sólo en el lugar del accidente,Negativo
1,2023S027410,14/08/2023,20:25:00,CUSTA. VEGA / PASEO. CIUDAD DE PLASENCIA,3,1,CENTRO,Colisión frontal,Despejado,Bicicleta EPAC (pedaleo asistido),Conductor,De 15 a 17 años,Hombre,6,Asistencia sanitaria inmediata en centro de salud o mutua,Negativo
